FR1_CA_1855	1855
FR1_CO_Anneau	Anneau
FR1_CO_EFS_1	EFS_1
FR1_CO_EFS_3_14-	EFS_3_14-
FR1_CO_EFS_4_14-	EFS_4_14-
FR1_CO_EFS_5	EFS_5
FR1_CO_EFS_6	EFS_6
FR1_CO_EFS_8	EFS_8
FR1_CO_EFS_10	EFS_10
FR1_CO_EFS_17	EFS_17
FR1_CO_EFS_19	EFS_19
FR1_CO_EFS_20	EFS_20
FR1_CO_EFS_21	EFS_21
FR1_CO_EFS_23	EFS_23
FR1_CO_EFS_24	EFS_24
FR1_CO_EFS_25	EFS_25
FR1_CO_EFS_26	EFS_26
FR1_CO_EFS_27	EFS_27
FR1_CO_EFS_28	EFS_28
FR1_CO_EFS_29_14-	EFS_29_14-
FR1_CO_EFS_31	EFS_31
FR1_CO_EFS_32	EFS_32
FR1_CO_LES_SA14-	LES_SA14-
FR1_CO_tem_0101	tem_0101
FR1_CO_tem_0102	tem_0102
FR1_CO_tem_0302	tem_0302
FR1_CO_tem_0401	tem_0401
FR1_CO_tem_0402	tem_0402
FR1_CO_tem_0601	tem_0601
FR1_CO_tem_0602	tem_0602
FR1_CO_tem_0701	tem_0701
FR1_CO_tem_0901	tem_0901
FR1_CO_tem_0902	tem_0902
FR1_CO_tem_1102	tem_1102
FR1_CO_tem_1301	tem_1301
FR1_CO_tem_1401	tem_1401
FR1_CO_tem_1402	tem_1402
FR1_CO_tem_1601	tem_1601
FR1_CO_tem_1602	tem_1602
FR1_CO_tem_2001	tem_2001
FR1_CO_tem_2002	tem_2002
FR1_CO_tem_2202	tem_2202
FR1_CO_tem_2501	tem_2501
FR1_CO_tem_2601	tem_2601
FR1_CO_tem_2602	tem_2602
FR1_CO_tem_2701	tem_2701
FR1_CO_tem_2901	tem_2901
FR1_CO_tem_2902	tem_2902
FR1_CO_tem_3002	tem_3002
FR1_CO_tem_3101	tem_3101
FR1_CO_tem_3301	tem_3301
FR1_CO_tem_3401	tem_3401
FR1_CO_tem_3601	tem_3601
FR1_CO_tem_4101	tem_4101
FR1_CO_tem_4102	tem_4102
FR1_CO_tem_4201	tem_4201
FR1_CO_tem_4202	tem_4202
FR1_CO_tem_4401	tem_4401
FR1_CO_tem_4601	tem_4601
FR1_CO_tem_4602	tem_4602
FR1_CO_tem_4701	tem_4701
FR1_CO_tem_4702	tem_4702
FR1_CO_tem_5001	tem_5001
FR1_CO_tem_5002	tem_5002
FR1_CO_tem_5101	tem_5101
FR1_CO_tem_5301	tem_5301
FR1_CO_tem_5302	tem_5302
FR1_CO_tem_5402	tem_5402
FR1_CO_11	11
FR1_CO_160	160
FR1_CO_166	166
FR1_CO_171	171
FR1_CO_183	183
FR1_CO_184	184
FR1_CO_187	187
FR1_CO_197	197
FR1_CO_200	200
FR1_CO_206	206
FR1_CO_219	219
FR1_CO_220	220
FR1_CO_222	222
FR1_CO_236	236
FR1_CO_240	240
FR1_CO_243	243
FR1_CO_246	246
FR1_CO_247	247
FR1_CO_248	248
FR1_CO_254	254
FR1_CO_270	270
FR1_CO_293	293
FR1_CO_295	295
FR1_CO_302	302
FR1_CO_305	305
FR1_CO_311	311
FR1_CO_312	312
FR1_CO_322	322
FR1_CO_347	347
FR1_CO_350	350
FR1_CO_352	352
FR1_CO_359	359
FR1_CO_360	360
FR1_CO_362	362
FR1_CO_364	364
FR1_CO_381	381
FR1_CO_382	382
FR1_CO_385	385
