Segment	Chr	StartMB	StopMB	Length	N_SNP	StartSNP	StopSNP
1	1	1.118	46.947	45.829	654	rs61733845	rs4660351
2	1	80.642	105.326	24.684	434	rs6424696	rs12036613
3	1	149.893	173.430	23.537	615	rs11205277	rs61826753
4	1	191.559	249.211	57.651	900	rs10801047	rs6704311
5	2	26.833	82.356	55.523	893	rs12474099	rs4852670
6	2	164.469	186.726	22.257	424	rs16848713	rs4343438
7	2	187.881	243.021	55.140	802	rs2370736	rs4973686
8	3	41.860	78.671	36.811	742	rs900569	rs17016413
9	4	99.392	134.965	35.572	518	rs17027607	rs6839208
10	5	70.946	180.580	109.634	1530	rs35068278	rs2770959
11	6	0.209	26.942	26.733	407	rs17806289	rs9393777
12	6	101.949	145.529	43.580	757	rs6930522	rs557305
13	7	0.123	40.157	40.034	555	rs4304288	rs7795333
14	7	69.902	118.173	48.271	325	rs2006810	rs1015424
15	8	8.114	29.602	21.488	463	rs2955590	rs7463092
16	8	47.374	99.415	52.042	533	rs12548509	rs17310732
17	8	114.389	146.293	31.905	358	rs4876512	rs6599566
18	9	0.218	30.208	29.990	416	rs500785	rs1510913
19	9	77.248	127.571	50.323	565	rs7032677	rs10986432
20	10	0.298	21.617	21.319	433	rs3125037	rs2049587
21	10	49.608	73.960	24.352	550	rs11101312	rs11000214
22	10	75.351	135.184	59.833	581	rs16930731	rs7894051
23	11	0.199	30.810	30.612	447	rs3802985	rs607165
24	11	55.111	121.414	66.304	778	rs116924453	rs2276346
25	12	0.333	33.438	33.105	477	rs577294	rs1007709
26	12	39.796	86.141	46.345	619	rs17127112	rs7297350
27	12	92.170	133.718	41.548	520	rs10859202	rs11609382
28	13	19.639	115.088	95.449	924	rs4770720	rs11840483
29	14	49.121	105.618	56.497	749	rs1953896	rs2293806
30	15	29.400	82.106	52.706	507	rs902274	rs9673017
31	16	0.301	31.385	31.084	573	rs9940149	rs45465094
32	16	47.330	90.139	42.808	652	rs8053323	rs4785624
33	17	25.849	81.005	55.155	781	rs940015	rs7224733
34	18	27.546	78.014	50.468	483	rs12954545	rs12606550
35	19	0.353	24.361	24.008	349	rs34965934	rs4986347
36	19	28.415	58.857	30.442	494	rs17620592	rs1265956
37	20	30.032	62.852	32.820	531	rs2281554	rs2427616
38	22	17.183	51.157	33.974	547	rs3016111	rs9628187
